               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.055256,            0.026524,            0.093967,           0.0055418,             0.53232,           0.0060229,           0.0028097,             0.02651,           0.0095705,            0.073793,             0.07004,           0.0033289,           0.0033289
                   1,            0.037558,             0.02069,            0.093417,           0.0065883,             0.89075,           0.0091879,           0.0051124,            0.022975,           0.0075268,             0.07307,            0.040039,           0.0066615,           0.0066615
                   2,            0.032597,            0.018356,            0.091573,           0.0066081,             0.93747,            0.010079,           0.0063227,            0.020103,           0.0069252,            0.072628,            0.010036,           0.0099912,           0.0099912
                   3,            0.029976,            0.017303,            0.091785,           0.0070132,             0.93234,            0.010349,           0.0067544,            0.018942,           0.0065479,            0.072422,           0.0099902,           0.0099902,           0.0099902
                   4,             0.02807,            0.016859,            0.092842,           0.0068746,             0.94499,            0.010516,            0.007109,            0.017528,           0.0064376,            0.072298,           0.0099902,           0.0099902,           0.0099902
                   5,            0.026829,            0.016403,            0.092009,           0.0071207,             0.94359,            0.011025,           0.0076686,            0.017098,           0.0063005,            0.072109,           0.0099826,           0.0099826,           0.0099826
                   6,            0.025232,            0.016332,            0.090954,           0.0069707,             0.95373,            0.011418,           0.0079871,            0.016532,           0.0061723,             0.07191,           0.0099729,           0.0099729,           0.0099729
                   7,            0.024877,            0.016052,            0.091542,           0.0072046,             0.94875,            0.011776,           0.0082433,            0.016381,           0.0061652,            0.071729,            0.009961,            0.009961,            0.009961
                   8,            0.024767,            0.016049,            0.091909,           0.0070916,             0.95588,            0.013026,           0.0090376,            0.016117,           0.0060602,            0.071435,           0.0099469,           0.0099469,           0.0099469
                   9,            0.024283,            0.016012,             0.09144,           0.0070292,             0.95253,            0.015052,            0.010612,            0.015718,            0.006092,            0.071028,           0.0099307,           0.0099307,           0.0099307
                  10,            0.024347,            0.015776,            0.091129,           0.0071627,             0.95725,            0.021428,            0.014963,            0.015703,           0.0060976,            0.069756,           0.0099123,           0.0099123,           0.0099123
                  11,            0.023843,            0.015809,            0.089036,           0.0070939,             0.96708,            0.026628,            0.018504,            0.015747,           0.0059692,            0.068399,           0.0098918,           0.0098918,           0.0098918
                  12,            0.023782,            0.015437,            0.086819,           0.0074998,             0.96419,            0.029561,            0.020534,            0.015656,            0.006014,            0.067487,           0.0098692,           0.0098692,           0.0098692
                  13,            0.023604,            0.015637,            0.086851,            0.020185,             0.60838,            0.035781,             0.02483,            0.015499,           0.0059373,            0.066653,           0.0098445,           0.0098445,           0.0098445
                  14,            0.023582,            0.015549,            0.087239,             0.24163,             0.12424,             0.03899,            0.027319,            0.015317,           0.0059339,            0.065783,           0.0098177,           0.0098177,           0.0098177
                  15,            0.024133,             0.01568,            0.088142,             0.33655,            0.082634,            0.042055,            0.029693,            0.015333,            0.005935,             0.06511,           0.0097887,           0.0097887,           0.0097887
                  16,            0.024025,            0.015676,            0.086504,              0.4138,            0.052284,            0.048687,            0.033762,            0.015067,           0.0058825,            0.064307,           0.0097577,           0.0097577,           0.0097577
                  17,            0.023738,            0.015471,            0.085987,             0.41084,            0.070725,            0.054788,            0.038351,            0.015111,           0.0058836,            0.063539,           0.0097247,           0.0097247,           0.0097247
                  18,            0.023635,            0.015431,            0.084452,             0.43971,            0.071018,            0.060457,            0.042596,             0.01483,           0.0058951,            0.062344,           0.0096895,           0.0096895,           0.0096895
                  19,            0.023749,             0.01556,            0.084029,              0.3659,             0.10006,            0.071221,            0.050083,            0.014932,           0.0058659,            0.060959,           0.0096524,           0.0096524,           0.0096524
                  20,            0.023765,            0.015532,            0.082491,              0.3131,              0.1217,             0.07901,            0.055203,            0.014982,           0.0058466,            0.059766,           0.0096132,           0.0096132,           0.0096132
                  21,            0.023769,            0.015448,            0.082373,             0.29473,             0.13056,            0.086681,            0.060642,            0.014977,           0.0058351,            0.058639,           0.0095721,           0.0095721,           0.0095721
                  22,            0.023898,            0.015405,            0.081618,             0.31293,             0.13909,            0.094765,            0.066246,            0.014984,           0.0058156,            0.057713,           0.0095289,           0.0095289,           0.0095289
                  23,            0.024498,            0.015639,            0.081748,             0.27945,             0.16059,             0.10499,            0.073669,            0.015001,           0.0058134,             0.05688,           0.0094838,           0.0094838,           0.0094838
                  24,            0.024004,            0.015372,             0.08102,              0.2809,             0.17701,             0.11462,            0.080257,             0.01483,           0.0058191,            0.055763,           0.0094367,           0.0094367,           0.0094367
                  25,            0.023946,            0.015347,            0.079177,             0.25795,              0.1852,              0.1221,            0.085523,            0.014741,           0.0057899,            0.055161,           0.0093877,           0.0093877,           0.0093877
                  26,            0.024492,            0.015575,              0.0787,             0.23279,              0.2049,             0.13137,            0.091205,            0.014975,           0.0057921,             0.05448,           0.0093368,           0.0093368,           0.0093368
                  27,            0.024009,            0.015344,            0.077792,             0.24257,             0.21749,             0.14477,             0.10127,             0.01487,           0.0057876,            0.053437,           0.0092841,           0.0092841,           0.0092841
                  28,            0.024801,            0.015436,            0.078427,             0.23739,             0.23296,             0.15323,             0.10749,            0.014824,            0.005763,            0.052808,           0.0092294,           0.0092294,           0.0092294
                  29,              0.0237,            0.015336,            0.076291,              0.2315,             0.24851,             0.16224,             0.11377,            0.014904,           0.0057527,            0.051914,            0.009173,            0.009173,            0.009173
                  30,            0.024482,            0.015336,            0.076755,             0.21768,             0.26123,             0.17454,              0.1233,            0.014764,           0.0057445,            0.051186,           0.0091147,           0.0091147,           0.0091147
                  31,            0.023922,            0.015172,            0.074968,             0.23144,             0.27317,             0.18117,             0.12737,            0.014702,           0.0057464,            0.050664,           0.0090546,           0.0090546,           0.0090546
                  32,            0.024114,            0.015233,            0.075035,             0.22356,             0.28877,             0.19408,             0.13679,            0.014493,           0.0057288,            0.049715,           0.0089928,           0.0089928,           0.0089928
                  33,            0.024692,            0.015238,            0.075453,             0.24184,             0.29088,             0.20332,             0.14364,            0.014511,           0.0057294,            0.049099,           0.0089293,           0.0089293,           0.0089293
                  34,            0.024114,            0.015209,            0.073503,             0.23902,             0.30143,             0.21304,             0.15028,            0.014425,           0.0057159,            0.048365,            0.008864,            0.008864,            0.008864
                  35,            0.023987,            0.015417,            0.072435,             0.25868,             0.31164,              0.2272,             0.16101,            0.014168,           0.0056864,            0.047685,           0.0087971,           0.0087971,           0.0087971
                  36,            0.023673,            0.015326,            0.072534,             0.25607,             0.31553,             0.23134,             0.16451,            0.014193,           0.0056781,            0.047145,           0.0087286,           0.0087286,           0.0087286
                  37,            0.024149,            0.015196,            0.072334,             0.26704,             0.31776,             0.24115,             0.17051,             0.01419,           0.0056727,            0.046687,           0.0086584,           0.0086584,           0.0086584
                  38,            0.023682,            0.015173,             0.07093,             0.27142,             0.33112,             0.25176,             0.17883,            0.014149,           0.0056642,            0.045941,           0.0085866,           0.0085866,           0.0085866
                  39,            0.023678,            0.015141,            0.070614,             0.27139,             0.34277,             0.25799,             0.18401,            0.014161,           0.0056287,             0.04544,           0.0085133,           0.0085133,           0.0085133
                  40,            0.023612,            0.015213,            0.070541,             0.28769,             0.34474,             0.26788,             0.19117,            0.013991,           0.0056328,            0.044915,           0.0084385,           0.0084385,           0.0084385
                  41,             0.02395,            0.015234,            0.071214,             0.29805,              0.3546,             0.27896,             0.19905,            0.014011,           0.0056515,            0.044324,           0.0083622,           0.0083622,           0.0083622
                  42,            0.023734,            0.015113,            0.068839,             0.29474,             0.36132,             0.28438,             0.20286,            0.013972,           0.0056315,            0.043746,           0.0082844,           0.0082844,           0.0082844
                  43,            0.023872,            0.015099,            0.069352,             0.30955,             0.36334,             0.29275,             0.20914,             0.01394,            0.005621,            0.043277,           0.0082052,           0.0082052,           0.0082052
                  44,            0.023649,            0.015206,            0.068896,             0.30783,             0.37477,             0.30068,             0.21443,            0.014109,           0.0056089,            0.042812,           0.0081247,           0.0081247,           0.0081247
                  45,              0.0237,            0.014993,            0.068859,              0.3139,             0.38186,             0.30913,             0.22152,            0.014029,           0.0055838,            0.042354,           0.0080428,           0.0080428,           0.0080428
                  46,            0.023987,            0.015151,            0.068618,             0.31662,             0.38785,             0.31644,              0.2268,            0.013884,           0.0055937,             0.04197,           0.0079595,           0.0079595,           0.0079595
                  47,            0.023791,            0.015077,             0.06754,             0.32622,             0.39329,             0.32411,             0.23162,              0.0138,           0.0055791,             0.04141,            0.007875,            0.007875,            0.007875
                  48,            0.023397,             0.01509,            0.067505,              0.3308,             0.40378,             0.33252,             0.23904,            0.013755,           0.0055643,            0.040868,           0.0077893,           0.0077893,           0.0077893
                  49,            0.024143,            0.015077,            0.067764,             0.33558,             0.40129,             0.33734,             0.24246,             0.01374,           0.0055606,            0.040603,           0.0077023,           0.0077023,           0.0077023
                  50,            0.023634,            0.015237,            0.066933,             0.34564,             0.40713,             0.34528,             0.24782,            0.013717,           0.0055555,            0.040113,           0.0076142,           0.0076142,           0.0076142
                  51,            0.023923,            0.015148,            0.067526,             0.35384,             0.41284,             0.35317,              0.2533,            0.013679,           0.0055477,            0.039768,            0.007525,            0.007525,            0.007525
                  52,            0.023926,            0.015026,             0.06648,             0.35424,             0.41881,             0.35839,             0.25726,            0.013686,           0.0055506,            0.039393,           0.0074347,           0.0074347,           0.0074347
                  53,            0.024489,            0.015109,            0.067505,             0.35862,             0.42177,             0.36506,             0.26251,            0.013621,           0.0055429,            0.038965,           0.0073433,           0.0073433,           0.0073433
                  54,            0.023748,            0.015022,            0.066151,             0.36815,             0.42128,             0.37152,             0.26749,            0.013589,           0.0055332,            0.038708,           0.0072509,           0.0072509,           0.0072509
                  55,            0.023622,            0.014978,             0.06483,             0.37474,             0.42664,             0.37696,             0.27167,            0.013518,           0.0055289,            0.038302,           0.0071576,           0.0071576,           0.0071576
                  56,            0.023912,             0.01514,            0.065193,             0.37842,             0.43609,              0.3824,             0.27569,            0.013465,            0.005521,            0.037855,           0.0070633,           0.0070633,           0.0070633
                  57,            0.023493,            0.014849,            0.064194,             0.38295,             0.44114,             0.38844,             0.28079,            0.013485,           0.0055168,            0.037476,           0.0069682,           0.0069682,           0.0069682
                  58,             0.02309,            0.014924,             0.06368,             0.38527,             0.44802,             0.39382,             0.28513,            0.013433,           0.0055049,             0.03723,           0.0068722,           0.0068722,           0.0068722
                  59,             0.02396,            0.014835,            0.064132,             0.38789,             0.45182,             0.39917,             0.28893,            0.013405,           0.0054979,            0.036881,           0.0067754,           0.0067754,           0.0067754
                  60,            0.023573,             0.01491,            0.064958,             0.39532,             0.44977,             0.40377,             0.29265,            0.013419,           0.0054916,            0.036584,           0.0066779,           0.0066779,           0.0066779
                  61,            0.023353,            0.014906,            0.062706,             0.39968,             0.45133,             0.40943,             0.29712,            0.013408,           0.0054854,            0.036232,           0.0065796,           0.0065796,           0.0065796
                  62,            0.023705,            0.014912,            0.063763,             0.40409,             0.45145,             0.41415,             0.30039,            0.013365,           0.0054821,            0.035958,           0.0064807,           0.0064807,           0.0064807
                  63,            0.023408,            0.014802,            0.062838,             0.40274,             0.45649,             0.41843,             0.30353,            0.013311,           0.0054767,            0.035685,           0.0063812,           0.0063812,           0.0063812
                  64,            0.024134,            0.014964,            0.063906,             0.40509,             0.46115,             0.42332,             0.30711,            0.013299,            0.005474,              0.0354,            0.006281,            0.006281,            0.006281
                  65,            0.022941,            0.014738,            0.061707,             0.41118,             0.46333,             0.42806,              0.3108,            0.013294,           0.0054663,            0.035138,           0.0061803,           0.0061803,           0.0061803
                  66,            0.023737,            0.014842,            0.063716,             0.41568,             0.46544,             0.43337,              0.3148,            0.013288,           0.0054598,             0.03487,           0.0060792,           0.0060792,           0.0060792
                  67,             0.02351,            0.014799,            0.062366,             0.41833,             0.47325,             0.43777,             0.31841,            0.013251,           0.0054536,            0.034596,           0.0059775,           0.0059775,           0.0059775
                  68,             0.02318,             0.01481,            0.062311,             0.42336,             0.47405,              0.4421,             0.32219,            0.013225,           0.0054487,            0.034353,           0.0058755,           0.0058755,           0.0058755
                  69,             0.02376,            0.014784,            0.062476,             0.42697,             0.47631,             0.44623,              0.3254,            0.013206,            0.005444,            0.034132,           0.0057731,           0.0057731,           0.0057731
                  70,            0.023425,            0.014863,            0.061549,             0.43009,             0.47941,             0.45044,             0.32852,             0.01318,           0.0054395,            0.033898,           0.0056704,           0.0056704,           0.0056704
                  71,            0.023204,            0.014853,            0.061425,             0.43221,             0.48012,             0.45399,             0.33126,            0.013175,           0.0054347,            0.033668,           0.0055674,           0.0055674,           0.0055674
                  72,            0.023487,            0.014744,            0.060621,             0.43735,             0.48226,             0.45842,             0.33459,             0.01315,             0.00543,            0.033395,           0.0054642,           0.0054642,           0.0054642
                  73,            0.023134,            0.014774,            0.060499,              0.4396,             0.48701,             0.46187,             0.33728,            0.013141,           0.0054244,            0.033178,           0.0053608,           0.0053608,           0.0053608
                  74,            0.023745,            0.014759,            0.060288,             0.44241,             0.48729,             0.46504,             0.33999,            0.013127,           0.0054197,            0.032973,           0.0052573,           0.0052573,           0.0052573
                  75,            0.022844,            0.014613,             0.05959,             0.44328,             0.49061,              0.4681,             0.34237,            0.013109,           0.0054167,            0.032758,           0.0051537,           0.0051537,           0.0051537
                  76,            0.023212,             0.01477,            0.059965,             0.44645,             0.49446,             0.47146,             0.34496,            0.013113,           0.0054137,            0.032572,             0.00505,             0.00505,             0.00505
                  77,            0.023353,            0.014726,            0.060152,             0.45046,             0.49366,             0.47416,             0.34732,            0.013108,           0.0054109,            0.032417,           0.0049463,           0.0049463,           0.0049463
                  78,            0.022919,            0.014735,            0.059299,             0.45186,             0.49664,             0.47671,             0.34917,            0.013091,           0.0054075,            0.032268,           0.0048427,           0.0048427,           0.0048427
                  79,            0.023365,            0.014622,            0.058949,              0.4528,              0.4998,             0.47965,             0.35153,            0.013074,           0.0054041,            0.032103,           0.0047392,           0.0047392,           0.0047392
                  80,            0.023039,            0.014671,            0.059519,             0.45465,             0.50232,             0.48216,             0.35347,            0.013063,           0.0053995,            0.031938,           0.0046358,           0.0046358,           0.0046358
                  81,            0.022647,            0.014677,            0.058223,             0.45563,             0.50513,             0.48473,             0.35548,            0.013056,           0.0053954,             0.03178,           0.0045326,           0.0045326,           0.0045326
                  82,            0.022446,            0.014693,            0.058606,             0.45841,             0.50645,             0.48724,             0.35742,            0.013048,            0.005391,            0.031634,           0.0044296,           0.0044296,           0.0044296
                  83,            0.022531,            0.014643,            0.057197,             0.45981,             0.50994,             0.49012,             0.36003,            0.013039,           0.0053872,            0.031487,           0.0043269,           0.0043269,           0.0043269
                  84,            0.022483,            0.014627,            0.057832,             0.46185,             0.50965,             0.49227,             0.36166,            0.013033,           0.0053824,            0.031346,           0.0042245,           0.0042245,           0.0042245
                  85,            0.022784,             0.01459,            0.058254,             0.46363,             0.51049,              0.4949,             0.36383,            0.013019,           0.0053781,            0.031204,           0.0041225,           0.0041225,           0.0041225
                  86,            0.022981,            0.014618,            0.058347,             0.46726,              0.5118,             0.49725,             0.36549,            0.013007,           0.0053752,            0.031062,           0.0040208,           0.0040208,           0.0040208
                  87,            0.022656,            0.014563,            0.057119,             0.46845,             0.51441,             0.49976,             0.36752,            0.012995,           0.0053724,            0.030937,           0.0039197,           0.0039197,           0.0039197
                  88,            0.022425,             0.01455,            0.057429,             0.47072,              0.5145,              0.5018,             0.36891,            0.012979,           0.0053695,            0.030825,            0.003819,            0.003819,            0.003819
                  89,            0.022405,            0.014687,            0.057034,              0.4731,              0.5151,             0.50387,             0.37053,            0.012971,           0.0053671,            0.030706,           0.0037188,           0.0037188,           0.0037188
                  90,              0.0226,            0.014498,            0.056677,             0.47386,             0.51749,             0.50573,             0.37199,             0.01296,           0.0053638,            0.030592,           0.0036193,           0.0036193,           0.0036193
                  91,            0.022409,             0.01465,            0.055977,             0.47586,             0.51777,             0.50757,             0.37348,             0.01295,           0.0053609,            0.030487,           0.0035204,           0.0035204,           0.0035204
                  92,            0.022582,            0.014478,            0.056989,             0.47877,             0.51871,             0.50937,             0.37502,             0.01294,           0.0053578,            0.030384,           0.0034221,           0.0034221,           0.0034221
                  93,            0.022412,            0.014414,            0.056002,             0.47984,              0.5207,             0.51127,             0.37657,            0.012933,           0.0053554,            0.030275,           0.0033246,           0.0033246,           0.0033246
                  94,            0.021665,            0.014467,            0.055438,             0.48183,             0.52025,             0.51309,             0.37814,            0.012921,            0.005353,            0.030172,           0.0032278,           0.0032278,           0.0032278
                  95,            0.021942,            0.014558,            0.055436,              0.4845,             0.52023,             0.51469,             0.37948,             0.01291,           0.0053505,            0.030073,           0.0031318,           0.0031318,           0.0031318
                  96,            0.021877,            0.014465,            0.055333,             0.48542,             0.52227,             0.51664,             0.38104,            0.012901,           0.0053482,            0.029977,           0.0030367,           0.0030367,           0.0030367
                  97,            0.021732,            0.014549,            0.055093,             0.48721,             0.52317,             0.51821,             0.38227,            0.012895,            0.005346,            0.029881,           0.0029424,           0.0029424,           0.0029424
                  98,            0.021728,             0.01441,             0.05419,             0.48772,             0.52495,             0.51988,             0.38358,            0.012888,           0.0053434,            0.029789,           0.0028491,           0.0028491,           0.0028491
                  99,            0.021649,            0.014386,            0.054276,             0.49044,             0.52558,             0.52146,             0.38484,            0.012882,           0.0053409,            0.029699,           0.0027567,           0.0027567,           0.0027567
                 100,            0.021616,            0.014297,            0.054858,             0.49137,             0.52779,             0.52327,             0.38621,            0.012876,           0.0053385,            0.029601,           0.0026653,           0.0026653,           0.0026653
                 101,            0.021136,            0.014385,            0.054149,             0.49184,             0.52977,             0.52499,             0.38757,            0.012868,            0.005336,            0.029506,            0.002575,            0.002575,            0.002575
                 102,            0.021302,            0.014424,            0.054177,             0.49203,             0.53163,             0.52639,             0.38869,            0.012859,           0.0053338,            0.029416,           0.0024858,           0.0024858,           0.0024858
                 103,            0.021399,            0.014366,            0.053975,             0.49393,             0.53175,             0.52793,             0.38995,            0.012851,           0.0053315,            0.029325,           0.0023977,           0.0023977,           0.0023977
                 104,            0.020924,            0.014263,            0.054543,             0.49638,             0.53163,             0.52946,             0.39104,            0.012842,           0.0053296,            0.029235,           0.0023107,           0.0023107,           0.0023107
                 105,              0.0214,            0.014452,            0.053116,             0.49675,             0.53365,             0.53102,             0.39246,            0.012834,           0.0053274,            0.029146,            0.002225,            0.002225,            0.002225
                 106,            0.021037,            0.014278,            0.054166,             0.49982,             0.53357,             0.53244,             0.39354,            0.012825,           0.0053255,            0.029057,           0.0021405,           0.0021405,           0.0021405
                 107,            0.020883,            0.014361,            0.053566,              0.4994,             0.53515,             0.53391,             0.39478,            0.012816,           0.0053236,            0.028971,           0.0020572,           0.0020572,           0.0020572
                 108,            0.021174,            0.014163,            0.053207,             0.50117,             0.53447,              0.5354,             0.39604,            0.012808,           0.0053215,            0.028887,           0.0019753,           0.0019753,           0.0019753
                 109,            0.021131,            0.014257,            0.053037,             0.50195,             0.53611,             0.53685,             0.39722,            0.012801,           0.0053197,            0.028804,           0.0018948,           0.0018948,           0.0018948
                 110,            0.020983,            0.014255,            0.053209,             0.50234,              0.5375,             0.53822,             0.39824,            0.012792,           0.0053175,            0.028722,           0.0018156,           0.0018156,           0.0018156
                 111,            0.020568,            0.014263,              0.0524,             0.50274,             0.53938,             0.53968,             0.39943,            0.012784,           0.0053156,             0.02864,           0.0017378,           0.0017378,           0.0017378
                 112,            0.020595,            0.014376,            0.052324,             0.50514,             0.53936,             0.54119,             0.40082,            0.012777,           0.0053137,            0.028557,           0.0016615,           0.0016615,           0.0016615
                 113,            0.020749,            0.014335,            0.052974,             0.50554,             0.54196,             0.54275,             0.40206,            0.012768,           0.0053118,            0.028474,           0.0015867,           0.0015867,           0.0015867
                 114,            0.020914,              0.0143,            0.052203,              0.5079,             0.54211,             0.54411,             0.40318,            0.012762,           0.0053099,            0.028394,           0.0015134,           0.0015134,           0.0015134
                 115,            0.020671,            0.014304,            0.053479,             0.50837,             0.54308,             0.54548,             0.40417,            0.012755,           0.0053082,            0.028314,           0.0014416,           0.0014416,           0.0014416
                 116,            0.020291,            0.014302,             0.05115,              0.5088,             0.54476,             0.54687,             0.40527,            0.012749,           0.0053063,            0.028233,           0.0013714,           0.0013714,           0.0013714
                 117,            0.020333,            0.014222,              0.0515,             0.51089,             0.54473,             0.54818,             0.40613,            0.012742,           0.0053041,            0.028153,           0.0013029,           0.0013029,           0.0013029
                 118,            0.020543,            0.014178,            0.051627,             0.51104,             0.54663,             0.54964,             0.40733,            0.012736,           0.0053022,            0.028074,            0.001236,            0.001236,            0.001236
                 119,            0.019869,            0.014165,            0.050809,             0.51067,             0.54807,             0.55109,             0.40857,            0.012727,           0.0053001,            0.027993,           0.0011707,           0.0011707,           0.0011707
                 120,            0.019986,             0.01411,            0.051842,             0.51291,               0.548,             0.55242,              0.4095,             0.01272,           0.0052982,            0.027916,           0.0011072,           0.0011072,           0.0011072
                 121,            0.019557,            0.014071,            0.050657,             0.51299,             0.54921,             0.55358,             0.41048,            0.012711,           0.0052963,            0.027837,           0.0010454,           0.0010454,           0.0010454
                 122,            0.019374,            0.014028,            0.050918,             0.51396,             0.55093,             0.55487,             0.41152,            0.012703,           0.0052943,            0.027759,          0.00098531,          0.00098531,          0.00098531
                 123,            0.020008,            0.014201,            0.051166,             0.51528,             0.55082,              0.5561,             0.41242,            0.012697,           0.0052925,            0.027678,          0.00092704,          0.00092704,          0.00092704
                 124,            0.019307,            0.014104,            0.049798,             0.51571,             0.55216,             0.55748,             0.41354,             0.01269,           0.0052906,            0.027601,          0.00087058,          0.00087058,          0.00087058
                 125,            0.019628,            0.014201,            0.050889,              0.5176,             0.55216,             0.55874,             0.41464,            0.012685,           0.0052886,            0.027524,          0.00081595,          0.00081595,          0.00081595
                 126,            0.019388,            0.013979,            0.051729,             0.51784,             0.55379,             0.56008,             0.41568,            0.012678,           0.0052868,            0.027445,          0.00076317,          0.00076317,          0.00076317
                 127,            0.019354,            0.014075,            0.049566,             0.51799,             0.55554,             0.56143,             0.41669,            0.012671,           0.0052849,            0.027369,          0.00071228,          0.00071228,          0.00071228
                 128,            0.018935,            0.013952,            0.049723,             0.52033,             0.55517,             0.56272,             0.41768,            0.012664,           0.0052827,            0.027289,          0.00066329,          0.00066329,          0.00066329
                 129,            0.019148,            0.014209,            0.049522,             0.51977,             0.55896,             0.56398,             0.41875,            0.012656,            0.005281,            0.027211,          0.00061623,          0.00061623,          0.00061623
                 130,            0.019133,            0.014001,            0.049885,             0.52169,             0.55847,             0.56523,             0.41972,             0.01265,           0.0052791,            0.027134,          0.00057111,          0.00057111,          0.00057111
                 131,            0.018843,            0.014021,             0.04943,             0.52366,              0.5584,             0.56647,             0.42094,            0.012643,           0.0052774,            0.027056,          0.00052795,          0.00052795,          0.00052795
                 132,            0.019319,            0.014184,            0.049769,             0.52387,             0.55991,             0.56757,             0.42184,            0.012636,           0.0052755,             0.02698,          0.00048678,          0.00048678,          0.00048678
                 133,            0.018631,            0.013995,             0.04881,             0.52495,              0.5617,             0.56894,             0.42289,             0.01263,           0.0052737,            0.026903,          0.00044761,          0.00044761,          0.00044761
                 134,            0.018783,            0.014034,            0.049483,             0.52535,             0.56262,             0.57001,             0.42383,            0.012625,           0.0052717,            0.026826,          0.00041045,          0.00041045,          0.00041045
                 135,            0.018993,            0.014089,            0.049338,             0.52715,             0.56266,             0.57132,             0.42494,            0.012618,           0.0052697,            0.026747,          0.00037534,          0.00037534,          0.00037534
                 136,            0.018709,            0.014047,            0.049842,             0.52661,              0.5661,             0.57258,             0.42596,             0.01261,           0.0052677,             0.02667,          0.00034227,          0.00034227,          0.00034227
                 137,            0.018651,            0.013956,            0.049441,             0.52906,             0.56645,             0.57391,             0.42708,            0.012602,            0.005266,            0.026595,          0.00031127,          0.00031127,          0.00031127
                 138,            0.018379,            0.013952,            0.049649,             0.52956,             0.56816,             0.57505,             0.42803,            0.012596,            0.005264,             0.02652,          0.00028235,          0.00028235,          0.00028235
                 139,            0.018715,            0.014039,            0.049585,             0.53179,              0.5683,             0.57619,             0.42901,             0.01259,           0.0052624,            0.026446,          0.00025551,          0.00025551,          0.00025551
                 140,            0.018237,            0.014012,             0.04887,             0.53394,             0.56785,             0.57734,             0.42992,            0.012583,           0.0052603,            0.026374,          0.00023078,          0.00023078,          0.00023078
                 141,            0.018028,            0.013947,            0.047954,             0.53509,             0.57013,             0.57849,             0.43094,            0.012577,           0.0052586,              0.0263,          0.00020817,          0.00020817,          0.00020817
                 142,            0.018273,            0.013983,            0.049142,             0.53569,             0.57174,             0.57966,             0.43188,            0.012572,           0.0052568,             0.02623,          0.00018768,          0.00018768,          0.00018768
                 143,            0.018448,            0.014072,             0.04921,             0.53618,             0.57375,             0.58081,             0.43284,            0.012566,            0.005255,            0.026157,          0.00016932,          0.00016932,          0.00016932
                 144,            0.018277,            0.013955,            0.048696,             0.53784,             0.57361,             0.58185,             0.43372,            0.012559,           0.0052533,            0.026088,           0.0001531,           0.0001531,           0.0001531
                 145,            0.018399,            0.014134,            0.048473,             0.53832,             0.57497,               0.583,             0.43448,            0.012553,           0.0052515,            0.026019,          0.00013903,          0.00013903,          0.00013903
                 146,            0.018444,            0.013979,            0.048699,             0.53976,             0.57506,             0.58416,             0.43548,            0.012547,           0.0052499,            0.025951,          0.00012712,          0.00012712,          0.00012712
                 147,            0.018104,            0.013951,            0.048794,             0.54011,              0.5768,             0.58525,             0.43627,            0.012539,           0.0052482,            0.025882,          0.00011736,          0.00011736,          0.00011736
                 148,            0.018189,            0.013936,             0.04949,             0.54175,             0.57641,             0.58627,              0.4372,            0.012534,           0.0052465,            0.025816,          0.00010977,          0.00010977,          0.00010977
                 149,            0.018473,             0.01393,            0.049257,             0.54328,             0.57581,             0.58725,             0.43796,            0.012528,           0.0052448,            0.025749,          0.00010434,          0.00010434,          0.00010434
