               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.050234,            0.026897,            0.086493,           0.0040927,             0.55361,           0.0048138,           0.0017631,            0.029632,           0.0099002,            0.068659,             0.07002,           0.0033311,           0.0033311
                   1,            0.034553,              0.0219,             0.08542,           0.0052941,             0.85659,           0.0079864,           0.0040065,            0.024017,            0.008355,            0.067967,            0.040019,           0.0066637,           0.0066637
                   2,            0.029954,            0.019494,            0.084212,           0.0059169,             0.90398,           0.0092291,           0.0051889,            0.022222,           0.0078131,            0.067493,            0.010016,           0.0099934,           0.0099934
                   3,            0.027762,              0.0188,            0.083686,           0.0065533,              0.9116,            0.010348,           0.0061291,            0.019799,           0.0073814,            0.067212,           0.0099902,           0.0099902,           0.0099902
                   4,            0.025976,            0.018181,            0.084001,           0.0064642,             0.92704,            0.012646,            0.007844,             0.01871,           0.0071709,            0.066504,           0.0099902,           0.0099902,           0.0099902
                   5,            0.025165,            0.017616,            0.082843,           0.0065202,             0.93997,            0.015969,           0.0098966,              0.0183,           0.0070502,            0.065292,           0.0099826,           0.0099826,           0.0099826
                   6,            0.024397,            0.017446,            0.082009,           0.0067552,             0.94712,            0.019384,            0.012332,            0.017165,            0.006863,            0.064317,           0.0099729,           0.0099729,           0.0099729
                   7,            0.024325,            0.017203,            0.081574,           0.0066316,             0.94944,            0.027053,            0.017395,            0.017037,           0.0068375,            0.063292,            0.009961,            0.009961,            0.009961
                   8,            0.024111,            0.017068,            0.081084,           0.0069268,             0.95367,            0.032177,            0.020599,            0.016854,           0.0067677,            0.061965,           0.0099469,           0.0099469,           0.0099469
                   9,            0.023574,            0.017038,             0.07998,             0.02218,             0.59758,            0.037144,            0.024084,            0.016536,           0.0066367,            0.060929,           0.0099307,           0.0099307,           0.0099307
                  10,            0.023504,            0.016627,            0.079123,             0.15492,             0.17057,            0.043885,            0.028317,            0.016479,           0.0065983,             0.05992,           0.0099123,           0.0099123,           0.0099123
                  11,            0.022982,            0.016708,            0.077731,              0.4959,            0.058468,            0.050273,            0.033057,            0.016055,           0.0064778,            0.058545,           0.0098918,           0.0098918,           0.0098918
                  12,            0.023002,            0.016253,            0.076264,             0.49889,            0.061924,            0.059666,              0.0398,            0.015841,           0.0064108,            0.057568,           0.0098692,           0.0098692,           0.0098692
                  13,            0.022783,            0.016419,            0.075619,              0.4429,            0.083251,            0.068178,            0.045052,            0.015992,           0.0064845,            0.056399,           0.0098445,           0.0098445,           0.0098445
                  14,            0.023155,            0.016304,            0.076057,             0.39179,            0.096527,            0.074953,            0.049746,            0.015741,           0.0063537,            0.055321,           0.0098177,           0.0098177,           0.0098177
                  15,            0.023052,            0.016435,            0.075436,             0.38721,               0.118,            0.090926,            0.061133,            0.015787,           0.0063044,            0.054104,           0.0097887,           0.0097887,           0.0097887
                  16,            0.023173,             0.01638,            0.074077,             0.32179,             0.16704,             0.10761,            0.071718,            0.015179,           0.0062957,            0.052932,           0.0097577,           0.0097577,           0.0097577
                  17,            0.022818,            0.016236,            0.073316,             0.26773,             0.18304,               0.117,            0.077685,            0.015257,           0.0062711,            0.051928,           0.0097247,           0.0097247,           0.0097247
                  18,            0.022913,            0.016158,            0.072151,              0.2905,              0.2024,             0.13889,            0.092031,            0.015186,           0.0062326,            0.050098,           0.0096895,           0.0096895,           0.0096895
                  19,            0.023281,            0.016204,            0.072122,             0.26749,             0.23764,             0.15082,             0.10151,            0.015089,           0.0061952,             0.04914,           0.0096524,           0.0096524,           0.0096524
                  20,            0.022919,              0.0161,            0.070591,             0.27811,             0.25779,             0.16811,             0.11423,             0.01494,           0.0061376,            0.047978,           0.0096132,           0.0096132,           0.0096132
                  21,            0.022737,            0.016115,            0.069777,             0.26579,             0.28583,             0.19516,             0.13243,            0.014911,           0.0061705,            0.046566,           0.0095721,           0.0095721,           0.0095721
