               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.042873,            0.025155,            0.080691,           0.0051581,             0.78031,            0.007305,           0.0033315,            0.021718,           0.0092287,            0.061079,             0.07001,           0.0033322,           0.0033322
                   1,             0.02895,            0.020105,             0.07877,           0.0059934,             0.90987,           0.0092674,           0.0052261,            0.017967,           0.0077461,            0.060416,            0.040009,           0.0066648,           0.0066648
                   2,            0.025869,            0.018618,            0.078534,           0.0064379,             0.92355,           0.0097827,           0.0056373,            0.017771,           0.0073218,            0.060084,            0.010006,           0.0099945,           0.0099945
                   3,            0.023294,            0.017596,            0.077382,           0.0064986,             0.94564,            0.016357,              0.0101,            0.016016,           0.0070205,             0.05826,           0.0099902,           0.0099902,           0.0099902
                   4,            0.022502,            0.017339,            0.075754,           0.0069039,              0.9541,            0.023609,            0.014824,            0.015339,           0.0067672,            0.056536,           0.0099902,           0.0099902,           0.0099902
                   5,            0.022012,            0.016872,            0.074655,           0.0069125,             0.96662,             0.03292,            0.020661,            0.014729,           0.0065743,            0.054601,           0.0099826,           0.0099826,           0.0099826
                   6,            0.021833,            0.016821,            0.073432,             0.37128,             0.11131,            0.045466,            0.029245,            0.014628,           0.0064523,            0.052682,           0.0099729,           0.0099729,           0.0099729
                   7,            0.021432,            0.016537,            0.072376,             0.49585,            0.092039,             0.05542,             0.03643,            0.013834,            0.006362,            0.051864,            0.009961,            0.009961,            0.009961
                   8,            0.021158,            0.016317,             0.07093,             0.39301,             0.10784,            0.074769,            0.049125,            0.013697,           0.0063531,            0.049798,           0.0099469,           0.0099469,           0.0099469
                   9,            0.020802,            0.016122,            0.069601,             0.38976,             0.15153,            0.092033,            0.061012,            0.013692,           0.0062585,            0.048475,           0.0099307,           0.0099307,           0.0099307
                  10,            0.020618,            0.016123,            0.068792,             0.31852,             0.18116,             0.11089,             0.07414,             0.01336,           0.0062186,            0.047113,           0.0099123,           0.0099123,           0.0099123
                  11,            0.020769,            0.015947,            0.067891,             0.31376,             0.20012,             0.12512,             0.08356,            0.013321,           0.0061978,            0.045601,           0.0098918,           0.0098918,           0.0098918
                  12,             0.02079,            0.016033,            0.066804,             0.27119,             0.24454,             0.14553,            0.097886,            0.013336,           0.0061913,            0.044298,           0.0098692,           0.0098692,           0.0098692
                  13,            0.020686,            0.015872,            0.065749,             0.28828,             0.24434,             0.16335,             0.10998,            0.012975,           0.0061032,            0.043274,           0.0098445,           0.0098445,           0.0098445
                  14,            0.020763,             0.01599,            0.065314,             0.25564,              0.2913,             0.18245,             0.12124,            0.013167,           0.0061118,            0.042055,           0.0098177,           0.0098177,           0.0098177
                  15,             0.02044,            0.015727,            0.063625,             0.28266,             0.31794,             0.20868,             0.14027,            0.012991,           0.0060027,            0.040828,           0.0097887,           0.0097887,           0.0097887
                  16,            0.020652,            0.015804,            0.062872,             0.27627,             0.34032,             0.22784,             0.15334,            0.012892,           0.0060466,            0.039469,           0.0097577,           0.0097577,           0.0097577
                  17,            0.020337,             0.01571,            0.061909,             0.26376,             0.37416,             0.25575,              0.1722,            0.012676,           0.0059659,            0.038254,           0.0097247,           0.0097247,           0.0097247
                  18,            0.020546,            0.015528,            0.060934,             0.27187,             0.37987,              0.2714,             0.18507,            0.012711,           0.0059441,             0.03713,           0.0096895,           0.0096895,           0.0096895
                  19,            0.020723,            0.015578,            0.060517,             0.28052,             0.39719,             0.29007,             0.19828,            0.012796,           0.0059864,            0.036362,           0.0096524,           0.0096524,           0.0096524
                  20,            0.020631,            0.015753,            0.059584,             0.30037,             0.41903,             0.31219,             0.21466,            0.012647,           0.0058838,            0.035263,           0.0096132,           0.0096132,           0.0096132
                  21,            0.020574,            0.015575,            0.058241,             0.33704,             0.42873,             0.34071,             0.23545,            0.012394,           0.0058845,             0.03403,           0.0095721,           0.0095721,           0.0095721
                  22,             0.02036,            0.015439,            0.057949,             0.34076,             0.43758,             0.34842,             0.24057,            0.012707,           0.0058206,            0.033527,           0.0095289,           0.0095289,           0.0095289
                  23,            0.020751,            0.015432,            0.057572,             0.34983,             0.46014,             0.37168,             0.25638,            0.012413,           0.0058622,            0.032676,           0.0094838,           0.0094838,           0.0094838
                  24,            0.020649,            0.015336,            0.056672,             0.37257,             0.46092,             0.39116,             0.27347,            0.012134,           0.0057476,            0.031596,           0.0094367,           0.0094367,           0.0094367
                  25,             0.02026,            0.015322,            0.055922,             0.37581,             0.47456,             0.40019,             0.28063,            0.012146,            0.005731,            0.031149,           0.0093877,           0.0093877,           0.0093877
                  26,            0.020238,            0.015401,            0.055273,             0.38417,             0.48725,             0.41669,             0.29184,            0.012022,            0.005719,            0.030291,           0.0093368,           0.0093368,           0.0093368
                  27,            0.020588,            0.015371,            0.055075,             0.39884,             0.48656,             0.42858,             0.29872,            0.011986,           0.0057118,            0.029807,           0.0092841,           0.0092841,           0.0092841
                  28,            0.020364,            0.015373,            0.054809,             0.41007,              0.5043,             0.44674,             0.31404,             0.01184,           0.0056823,            0.029099,           0.0092294,           0.0092294,           0.0092294
                  29,            0.020441,            0.015292,            0.054084,             0.42499,             0.51326,             0.46034,             0.32597,            0.011812,           0.0056494,            0.028517,            0.009173,            0.009173,            0.009173
                  30,            0.020147,            0.015189,            0.053178,             0.44221,             0.52636,             0.47811,             0.33806,            0.011835,            0.005659,            0.027738,           0.0091147,           0.0091147,           0.0091147
                  31,             0.01994,            0.015061,            0.052506,             0.45307,             0.52887,             0.48753,             0.34748,             0.01161,            0.005598,            0.027179,           0.0090546,           0.0090546,           0.0090546
                  32,            0.020044,            0.015053,            0.052331,             0.46194,             0.53728,             0.50107,             0.35675,            0.011575,           0.0055981,            0.026872,           0.0089928,           0.0089928,           0.0089928
                  33,             0.02026,            0.015164,            0.052078,             0.46586,             0.53831,             0.50745,             0.36303,            0.011555,           0.0055458,            0.026289,           0.0089293,           0.0089293,           0.0089293
                  34,            0.020095,            0.015079,            0.052071,             0.47762,             0.54731,             0.52165,             0.37543,             0.01146,           0.0055518,             0.02564,            0.008864,            0.008864,            0.008864
                  35,            0.020083,            0.014979,            0.051384,             0.49098,             0.55077,             0.53436,             0.38456,            0.011429,           0.0054949,            0.025261,           0.0087971,           0.0087971,           0.0087971
                  36,            0.020149,             0.01486,            0.050672,             0.49889,             0.56691,             0.54744,             0.39353,            0.011416,           0.0054821,            0.024718,           0.0087286,           0.0087286,           0.0087286
                  37,            0.019948,            0.014932,            0.050445,             0.49366,             0.57485,             0.55162,             0.39733,            0.011428,           0.0054839,            0.024149,           0.0086584,           0.0086584,           0.0086584
                  38,            0.020102,            0.014838,            0.050383,             0.50308,             0.58616,             0.56456,             0.40918,            0.011246,           0.0054149,            0.023765,           0.0085866,           0.0085866,           0.0085866
                  39,            0.019959,            0.014896,            0.049882,              0.5263,             0.58566,             0.57757,              0.4204,            0.011132,           0.0054122,            0.023155,           0.0085133,           0.0085133,           0.0085133
                  40,            0.019797,            0.014852,            0.049746,             0.53764,             0.58729,             0.58643,             0.42648,            0.011117,           0.0053715,            0.022787,           0.0084385,           0.0084385,           0.0084385
                  41,            0.020003,            0.014941,            0.049458,             0.54581,             0.59095,              0.5961,             0.43474,            0.011061,           0.0053857,            0.022413,           0.0083622,           0.0083622,           0.0083622
                  42,            0.019596,            0.014688,            0.048712,             0.55401,              0.5996,             0.60468,             0.44203,            0.010983,           0.0053618,            0.022068,           0.0082844,           0.0082844,           0.0082844
                  43,            0.019834,            0.014853,            0.048003,             0.56117,             0.60693,             0.61626,             0.45106,            0.010866,           0.0053405,            0.021528,           0.0082052,           0.0082052,           0.0082052
                  44,            0.019565,            0.014775,            0.047898,             0.56752,             0.60765,             0.62304,             0.45615,            0.010834,           0.0053319,            0.021207,           0.0081247,           0.0081247,           0.0081247
                  45,            0.019481,            0.014617,              0.0476,             0.57516,             0.61625,             0.63179,             0.46413,            0.010758,           0.0053071,            0.020837,           0.0080428,           0.0080428,           0.0080428
                  46,            0.019789,            0.014726,            0.047476,             0.58177,             0.61884,             0.63594,             0.46884,            0.010679,           0.0052877,            0.020539,           0.0079595,           0.0079595,           0.0079595
                  47,            0.019655,            0.014868,            0.047358,             0.58269,             0.62314,             0.64258,             0.47459,            0.010658,           0.0052763,            0.020334,            0.007875,            0.007875,            0.007875
                  48,            0.019573,             0.01468,            0.046156,             0.59578,             0.62219,             0.64984,             0.48182,             0.01063,           0.0052579,            0.020037,           0.0077893,           0.0077893,           0.0077893
                  49,             0.01934,            0.014577,             0.04634,             0.59915,             0.63294,             0.65662,             0.48722,            0.010623,           0.0052365,            0.019769,           0.0077023,           0.0077023,           0.0077023
                  50,            0.019636,            0.014603,            0.046276,             0.60472,             0.63422,             0.66197,             0.49385,            0.010567,           0.0052188,            0.019526,           0.0076142,           0.0076142,           0.0076142
                  51,            0.019658,            0.014503,            0.045769,             0.60844,             0.63723,             0.66688,             0.49684,            0.010542,           0.0051988,             0.01914,            0.007525,            0.007525,            0.007525
                  52,            0.019255,            0.014533,            0.045629,             0.61622,             0.64134,              0.6737,              0.5033,            0.010497,           0.0051771,            0.018831,           0.0074347,           0.0074347,           0.0074347
                  53,            0.019282,            0.014621,            0.044962,             0.62579,             0.64823,             0.68131,             0.50888,            0.010429,           0.0051704,            0.018439,           0.0073433,           0.0073433,           0.0073433
                  54,            0.019397,            0.014579,            0.044997,              0.6308,             0.65068,             0.68717,             0.51451,            0.010371,           0.0051465,            0.018235,           0.0072509,           0.0072509,           0.0072509
                  55,            0.019359,            0.014553,            0.044622,             0.63395,             0.65533,               0.692,             0.51865,            0.010374,           0.0051365,            0.017947,           0.0071576,           0.0071576,           0.0071576
