               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.048078,            0.024015,            0.095321,           0.0060267,             0.80032,           0.0079979,           0.0043088,            0.023379,           0.0079962,            0.073746,             0.07004,           0.0033289,           0.0033289
                   1,            0.033603,            0.018401,            0.093484,           0.0066505,             0.90919,           0.0096623,           0.0058536,            0.020682,           0.0069392,            0.072787,            0.040039,           0.0066615,           0.0066615
                   2,            0.030899,            0.017235,            0.091623,             0.00639,             0.94835,            0.011131,           0.0071877,            0.019415,           0.0067388,            0.072417,            0.010036,           0.0099912,           0.0099912
                   3,            0.029107,             0.01652,            0.091782,            0.007185,             0.94184,            0.014145,           0.0095948,            0.017673,           0.0063024,            0.071996,           0.0099902,           0.0099902,           0.0099902
                   4,            0.027542,            0.016228,            0.092432,           0.0067728,             0.96186,            0.023152,            0.015368,            0.017284,           0.0061842,            0.070796,           0.0099902,           0.0099902,           0.0099902
                   5,            0.026487,            0.015847,            0.090705,           0.0074118,             0.95893,            0.029205,            0.019739,            0.016584,           0.0061212,            0.069475,           0.0099826,           0.0099826,           0.0099826
                   6,            0.025137,            0.015801,            0.088729,            0.020901,             0.62623,            0.038213,             0.02588,            0.016213,           0.0059476,            0.068249,           0.0099729,           0.0099729,           0.0099729
                   7,            0.024911,            0.015574,            0.088273,             0.32816,            0.096233,            0.050452,             0.03428,            0.016065,           0.0059772,            0.066627,            0.009961,            0.009961,            0.009961
                   8,            0.024928,            0.015578,             0.08755,             0.29466,            0.079227,            0.060448,             0.04131,            0.015591,           0.0059454,            0.065062,           0.0099469,           0.0099469,           0.0099469
                   9,            0.024514,            0.015531,            0.086047,             0.28569,             0.10865,            0.077009,            0.053156,             0.01535,            0.005834,            0.063609,           0.0099307,           0.0099307,           0.0099307
                  10,            0.024649,            0.015287,            0.085235,               0.223,             0.14011,            0.095867,            0.066624,            0.015279,           0.0058086,            0.061936,           0.0099123,           0.0099123,           0.0099123
                  11,            0.024059,            0.015273,            0.083044,             0.21111,             0.18722,             0.11467,            0.078844,            0.015351,           0.0057302,            0.060289,           0.0098918,           0.0098918,           0.0098918
                  12,            0.024067,            0.014971,            0.080704,             0.20282,             0.21393,             0.13145,            0.091044,            0.015172,           0.0057453,             0.05874,           0.0098692,           0.0098692,           0.0098692
                  13,            0.023926,            0.015113,            0.080357,             0.20106,             0.22757,             0.14523,             0.10091,             0.01508,           0.0057059,            0.057413,           0.0098445,           0.0098445,           0.0098445
                  14,            0.023985,            0.015049,            0.080495,             0.23015,             0.24556,             0.15864,             0.11057,            0.015033,           0.0056516,            0.056026,           0.0098177,           0.0098177,           0.0098177
                  15,            0.024375,             0.01519,            0.080957,             0.22543,             0.25403,             0.17297,             0.12088,            0.014893,           0.0056436,            0.054748,           0.0097887,           0.0097887,           0.0097887
                  16,             0.02421,            0.015133,            0.079255,             0.23575,             0.27942,             0.19623,             0.13661,            0.014771,            0.005606,            0.053519,           0.0097577,           0.0097577,           0.0097577
                  17,            0.024037,            0.014942,            0.078367,             0.25267,             0.30615,             0.21412,             0.14868,            0.015097,           0.0055901,            0.052298,           0.0097247,           0.0097247,           0.0097247
                  18,            0.023886,            0.014906,            0.076589,             0.27413,             0.32488,             0.24306,             0.17006,            0.014764,           0.0055852,            0.051059,           0.0096895,           0.0096895,           0.0096895
                  19,            0.024323,            0.015007,            0.076236,             0.27609,             0.33745,             0.25912,             0.18251,            0.014719,           0.0055688,            0.049757,           0.0096524,           0.0096524,           0.0096524
                  20,            0.024169,            0.014939,            0.074543,             0.30784,             0.36377,              0.2922,              0.2052,             0.01452,           0.0055454,            0.048355,           0.0096132,           0.0096132,           0.0096132
