               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.047411,            0.024311,            0.094913,            0.006095,             0.75289,           0.0073865,           0.0042324,             0.02282,           0.0079576,            0.073912,             0.07004,           0.0033289,           0.0033289
                   1,            0.032561,            0.018465,            0.093305,           0.0070057,             0.89481,           0.0095914,           0.0057753,            0.022644,           0.0068322,            0.072919,            0.040039,           0.0066615,           0.0066615
                   2,            0.030066,            0.017142,            0.091605,           0.0068635,             0.94219,            0.010399,           0.0068179,             0.01833,           0.0065326,            0.072628,            0.010036,           0.0099912,           0.0099912
                   3,            0.028582,            0.016423,            0.091741,           0.0069879,             0.94579,            0.011267,           0.0077271,            0.017375,           0.0062493,            0.072221,           0.0099902,           0.0099902,           0.0099902
                   4,            0.026755,            0.016173,            0.092699,             0.00703,             0.95302,            0.013265,           0.0093271,            0.016138,           0.0061164,            0.071994,           0.0099902,           0.0099902,           0.0099902
                   5,            0.025765,            0.015724,            0.091635,           0.0071486,             0.95719,            0.017996,            0.012606,            0.016107,           0.0060743,            0.070929,           0.0099826,           0.0099826,           0.0099826
                   6,            0.024498,            0.015717,            0.090087,           0.0072342,             0.96568,            0.021427,            0.014911,            0.015981,           0.0059632,            0.070254,           0.0099729,           0.0099729,           0.0099729
                   7,            0.024308,            0.015519,            0.090129,           0.0075346,             0.96167,            0.024988,            0.017218,            0.015768,           0.0059761,            0.069478,            0.009961,            0.009961,            0.009961
                   8,            0.024019,            0.015512,            0.090016,           0.0073131,             0.96894,            0.029764,            0.020599,            0.015248,           0.0058926,            0.068278,           0.0099469,           0.0099469,           0.0099469
                   9,            0.023715,            0.015489,            0.088753,             0.02423,             0.47734,            0.035304,            0.024619,            0.015144,           0.0058538,            0.067116,           0.0099307,           0.0099307,           0.0099307
                  10,            0.023905,            0.015257,            0.088163,             0.18874,             0.13841,            0.045325,            0.031949,            0.015038,           0.0058246,             0.06589,           0.0099123,           0.0099123,           0.0099123
                  11,            0.023424,            0.015283,             0.08616,             0.37571,            0.078855,            0.054601,            0.038299,               0.015,           0.0057438,            0.064658,           0.0098918,           0.0098918,           0.0098918
