               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.039133,            0.019514,            0.094653,           0.0072055,             0.95975,            0.010128,           0.0073342,             0.01576,           0.0052307,            0.073397,             0.07004,           0.0033289,           0.0033289
                   1,            0.027747,            0.014732,            0.093092,           0.0072166,             0.96789,            0.011223,           0.0082902,            0.016474,           0.0050664,            0.072377,            0.040039,           0.0066615,           0.0066615
                   2,            0.026751,             0.01435,            0.090744,           0.0072406,             0.97783,            0.023746,            0.017289,            0.015323,           0.0051959,            0.069844,            0.010036,           0.0099912,           0.0099912
                   3,            0.026627,            0.014262,            0.088494,             0.45463,            0.067184,             0.04366,            0.032358,            0.014532,           0.0050953,            0.066064,           0.0099902,           0.0099902,           0.0099902
                   4,            0.025571,            0.014088,            0.087041,             0.35752,             0.10588,            0.075437,            0.055484,            0.014145,           0.0051245,            0.062706,           0.0099902,           0.0099902,           0.0099902
                   5,            0.024306,            0.013729,            0.083628,             0.32436,             0.16268,              0.1158,            0.087797,            0.013264,            0.004856,            0.059143,           0.0099826,           0.0099826,           0.0099826
                   6,            0.023374,            0.013658,            0.080641,             0.24455,             0.23541,             0.14702,             0.10939,             0.01378,           0.0048883,            0.056359,           0.0099729,           0.0099729,           0.0099729
                   7,            0.023482,            0.013535,            0.079435,             0.24326,             0.27696,             0.18006,              0.1377,            0.013279,           0.0047716,            0.054062,            0.009961,            0.009961,            0.009961
                   8,            0.023177,            0.013517,            0.078494,             0.24692,             0.29636,             0.20498,              0.1594,            0.012898,           0.0047502,            0.052162,           0.0099469,           0.0099469,           0.0099469
                   9,            0.022859,            0.013507,            0.076697,              0.2539,             0.30476,             0.22116,             0.17081,            0.012786,           0.0046638,            0.050805,           0.0099307,           0.0099307,           0.0099307
                  10,            0.022812,            0.013321,             0.07641,             0.26957,             0.31992,              0.2431,             0.18881,            0.012843,           0.0046697,            0.049529,           0.0099123,           0.0099123,           0.0099123
                  11,            0.022301,            0.013315,            0.074174,             0.28356,             0.35602,             0.26609,             0.20742,             0.01232,           0.0046193,            0.047897,           0.0098918,           0.0098918,           0.0098918
                  12,            0.021914,            0.012922,            0.072119,             0.29523,             0.36394,             0.28394,             0.22303,            0.012225,           0.0045429,            0.046573,           0.0098692,           0.0098692,           0.0098692
                  13,            0.021997,            0.013111,            0.071612,              0.3097,             0.37844,             0.30412,             0.23843,            0.012287,           0.0045083,            0.045301,           0.0098445,           0.0098445,           0.0098445
                  14,             0.02205,            0.013034,            0.071795,             0.31994,             0.38992,             0.31729,             0.24916,            0.012474,           0.0044745,            0.044187,           0.0098177,           0.0098177,           0.0098177
                  15,            0.022701,            0.013109,            0.072051,             0.34543,             0.39046,             0.33394,              0.2662,            0.012292,           0.0044559,            0.042965,           0.0097887,           0.0097887,           0.0097887
                  16,            0.022234,            0.013089,            0.070246,             0.35173,             0.40999,             0.34965,              0.2772,            0.011921,           0.0044515,            0.042166,           0.0097577,           0.0097577,           0.0097577
