               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.043115,            0.020777,            0.095976,           0.0068317,             0.91763,           0.0095291,           0.0060743,            0.018536,           0.0062779,            0.073984,             0.07004,           0.0033289,           0.0033289
                   1,            0.029331,            0.016446,            0.093476,           0.0068104,             0.95399,            0.009912,           0.0069602,            0.017016,           0.0059296,            0.072839,            0.040039,           0.0066615,           0.0066615
                   2,            0.027699,            0.015806,             0.09156,           0.0066983,             0.96224,            0.011563,           0.0082907,            0.016466,           0.0061274,            0.072288,            0.010036,           0.0099912,           0.0099912
                   3,            0.027288,            0.015613,            0.091203,           0.0070241,             0.96363,            0.021869,            0.015327,            0.016316,           0.0059495,            0.070178,           0.0099902,           0.0099902,           0.0099902
                   4,            0.026287,            0.015517,            0.090595,            0.015607,             0.69835,            0.032602,            0.022518,            0.015695,           0.0058355,            0.067869,           0.0099902,           0.0099902,           0.0099902
                   5,            0.025246,            0.015155,            0.088057,             0.43704,            0.045709,            0.049163,            0.034028,            0.015723,           0.0057957,            0.065465,           0.0099826,           0.0099826,           0.0099826
                   6,            0.024258,            0.015186,            0.085531,             0.32837,            0.092186,            0.069448,            0.047945,            0.015223,           0.0057435,            0.063653,           0.0099729,           0.0099729,           0.0099729
                   7,            0.024232,            0.015055,            0.084734,              0.2649,             0.13142,            0.089071,            0.061409,            0.015286,           0.0057321,            0.061533,            0.009961,            0.009961,            0.009961
                   8,            0.024409,            0.015092,            0.083999,             0.26597,             0.15889,               0.104,            0.073324,            0.014958,           0.0056661,            0.059651,           0.0099469,           0.0099469,           0.0099469
                   9,            0.023982,            0.015057,            0.082433,             0.22863,             0.17417,             0.11874,             0.08265,            0.014785,           0.0056573,            0.058105,           0.0099307,           0.0099307,           0.0099307
                  10,            0.024186,            0.014857,             0.08175,             0.22697,             0.20117,             0.13559,            0.095367,            0.014927,           0.0056056,            0.056945,           0.0099123,           0.0099123,           0.0099123
                  11,            0.023691,            0.014894,            0.079718,             0.22314,             0.22762,             0.15358,             0.10799,            0.014755,           0.0055922,            0.055197,           0.0098918,           0.0098918,           0.0098918
                  12,            0.023435,            0.014586,            0.077614,             0.22122,             0.25506,             0.17253,             0.12287,            0.014372,           0.0055583,            0.054003,           0.0098692,           0.0098692,           0.0098692
                  13,            0.023311,            0.014804,            0.077232,             0.23121,             0.25212,             0.17655,             0.12644,            0.014564,            0.005554,            0.053228,           0.0098445,           0.0098445,           0.0098445
                  14,            0.023386,            0.014734,            0.077414,             0.23178,             0.28146,             0.19563,             0.13967,            0.014333,           0.0055262,            0.051856,           0.0098177,           0.0098177,           0.0098177
                  15,            0.024047,            0.014891,            0.077788,             0.25499,             0.28604,             0.21035,             0.15057,            0.014538,           0.0055438,            0.050891,           0.0097887,           0.0097887,           0.0097887
                  16,            0.023844,            0.014823,            0.076087,             0.26003,               0.301,             0.22264,             0.15928,            0.014239,           0.0055064,            0.049875,           0.0097577,           0.0097577,           0.0097577
                  17,            0.023666,            0.014636,            0.075354,             0.25633,             0.32784,             0.23689,             0.16987,            0.014806,           0.0054654,            0.049261,           0.0097247,           0.0097247,           0.0097247
                  18,             0.02378,            0.014632,            0.073917,             0.26644,             0.32018,             0.24683,             0.17658,            0.014307,           0.0054556,            0.048788,           0.0096895,           0.0096895,           0.0096895
                  19,            0.023796,            0.014746,            0.073742,             0.27885,             0.32855,             0.25444,             0.18307,            0.014293,           0.0054903,            0.047305,           0.0096524,           0.0096524,           0.0096524
                  20,            0.023447,            0.014705,             0.07212,             0.29127,             0.35332,             0.27618,             0.19857,            0.014217,           0.0054381,            0.046153,           0.0096132,           0.0096132,           0.0096132
                  21,            0.023472,             0.01465,            0.072209,             0.30003,             0.35037,             0.28075,             0.20231,            0.014077,           0.0054135,            0.045561,           0.0095721,           0.0095721,           0.0095721
                  22,            0.023619,            0.014584,            0.071594,             0.30435,             0.36081,             0.29429,             0.21169,            0.014274,           0.0054202,            0.044624,           0.0095289,           0.0095289,           0.0095289
                  23,            0.024352,            0.014786,            0.072003,             0.31401,              0.3736,             0.30755,             0.22293,            0.014015,           0.0054035,            0.043888,           0.0094838,           0.0094838,           0.0094838
                  24,            0.023924,             0.01457,            0.071454,             0.33944,             0.38003,             0.32074,             0.23277,            0.014034,           0.0053959,            0.043112,           0.0094367,           0.0094367,           0.0094367
                  25,            0.023663,            0.014552,            0.069725,             0.33621,             0.38707,             0.32987,                0.24,            0.013885,           0.0053909,            0.042411,           0.0093877,           0.0093877,           0.0093877
                  26,            0.024106,            0.014736,            0.069254,             0.35091,             0.39995,             0.34473,             0.25063,            0.013939,            0.005383,            0.042115,           0.0093368,           0.0093368,           0.0093368
                  27,            0.023542,            0.014542,            0.068645,             0.36097,             0.40475,             0.35477,             0.25778,            0.013886,           0.0053731,            0.041138,           0.0092841,           0.0092841,           0.0092841
                  28,            0.023972,            0.014615,            0.069253,             0.36891,              0.4004,             0.35868,             0.26208,             0.01386,           0.0053461,            0.040507,           0.0092294,           0.0092294,           0.0092294
                  29,            0.023432,            0.014549,            0.067228,             0.36833,             0.41348,             0.36925,             0.26976,            0.013742,           0.0053394,            0.039761,            0.009173,            0.009173,            0.009173
                  30,            0.023979,            0.014549,            0.068048,             0.38184,             0.42022,              0.3827,             0.27983,            0.013728,           0.0053176,            0.039324,           0.0091147,           0.0091147,           0.0091147
                  31,             0.02383,            0.014366,             0.06644,             0.38479,             0.42146,             0.38684,             0.28273,            0.013761,           0.0053302,            0.038981,           0.0090546,           0.0090546,           0.0090546
                  32,            0.023579,            0.014419,             0.06682,               0.396,             0.43523,             0.40074,             0.29239,            0.013623,           0.0052986,            0.038365,           0.0089928,           0.0089928,           0.0089928
                  33,             0.02405,            0.014451,            0.067053,             0.39798,             0.44364,             0.40805,             0.29864,            0.013676,           0.0052866,            0.037888,           0.0089293,           0.0089293,           0.0089293
                  34,            0.023895,            0.014426,            0.065146,             0.41435,             0.44258,             0.41735,             0.30617,            0.013646,           0.0052857,            0.037331,            0.008864,            0.008864,            0.008864
                  35,            0.023523,            0.014597,            0.064107,             0.41472,             0.45661,             0.42715,             0.31487,            0.013402,           0.0052452,            0.036621,           0.0087971,           0.0087971,           0.0087971
                  36,            0.023344,            0.014503,            0.064424,             0.42222,             0.45729,             0.42855,             0.31635,            0.013398,           0.0052409,            0.036219,           0.0087286,           0.0087286,           0.0087286
                  37,             0.02349,            0.014392,            0.064355,             0.43351,               0.456,             0.43925,             0.32328,            0.013282,           0.0052508,            0.035815,           0.0086584,           0.0086584,           0.0086584
                  38,            0.023227,             0.01442,            0.063818,              0.4323,             0.46111,             0.44161,             0.32519,            0.013238,           0.0052625,            0.035299,           0.0085866,           0.0085866,           0.0085866
                  39,            0.023515,            0.014518,            0.063603,             0.44354,             0.46781,             0.45432,             0.33542,            0.013266,           0.0052386,             0.03498,           0.0085133,           0.0085133,           0.0085133
                  40,            0.023179,            0.014445,            0.062479,             0.44487,             0.47357,             0.46049,             0.33996,            0.013272,           0.0052238,            0.034753,           0.0084385,           0.0084385,           0.0084385
